dataset	group	sample	chrom	start	end	count	mapped_reads
SH-SY5Y	TDP-43 KD	SRR33375000	19	1234743	1235000	12	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1235146	1235311	2	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1235146	1235500	1	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1235343	1235500	12	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1235566	1235778	14	110933422
SH-SY5Y	TDP-43 KD	SRR33375000	19	1235919	1235995	23	110933422
iPSC colonies	Control	SRR24314006	19	1234291	1234570	118	422416608
iPSC colonies	Control	SRR24314006	19	1234332	1234570	1132	422416608
iPSC colonies	Control	SRR24314006	19	1234667	1235000	2	422416608
iPSC colonies	Control	SRR24314006	19	1234743	1235000	1098	422416608
iPSC colonies	Control	SRR24314006	19	1235079	1235500	2	422416608
iPSC colonies	Control	SRR24314006	19	1235146	1235311	21	422416608
iPSC colonies	Control	SRR24314006	19	1235146	1235336	1	422416608
iPSC colonies	Control	SRR24314006	19	1235146	1235500	782	422416608
iPSC colonies	Control	SRR24314006	19	1235343	1235500	8	422416608
iPSC colonies	Control	SRR24314006	19	1235391	1235500	18	422416608
iPSC colonies	Control	SRR24314006	19	1235566	1235750	35	422416608
iPSC colonies	Control	SRR24314006	19	1235566	1235778	1283	422416608
iPSC colonies	Control	SRR24314006	19	1235915	1235995	13	422416608
iPSC colonies	Control	SRR24314006	19	1235919	1235995	1031	422416608
iPSC colonies	Control	SRR24314016	19	1234291	1234570	123	464621028
iPSC colonies	Control	SRR24314016	19	1234332	1234570	1540	464621028
iPSC colonies	Control	SRR24314016	19	1234743	1235000	1396	464621028
iPSC colonies	Control	SRR24314016	19	1235146	1235311	30	464621028
iPSC colonies	Control	SRR24314016	19	1235146	1235336	2	464621028
iPSC colonies	Control	SRR24314016	19	1235146	1235500	970	464621028
iPSC colonies	Control	SRR24314016	19	1235169	1235343	1	464621028
iPSC colonies	Control	SRR24314016	19	1235343	1235500	13	464621028
iPSC colonies	Control	SRR24314016	19	1235391	1235500	27	464621028
iPSC colonies	Control	SRR24314016	19	1235566	1235750	25	464621028
iPSC colonies	Control	SRR24314016	19	1235566	1235778	1582	464621028
iPSC colonies	Control	SRR24314016	19	1235915	1235995	12	464621028
iPSC colonies	Control	SRR24314016	19	1235919	1235995	1025	464621028
iPSC colonies	Control	SRR24314019	19	1234291	1234570	145	478637385
iPSC colonies	Control	SRR24314019	19	1234332	1234570	1292	478637385
iPSC colonies	Control	SRR24314019	19	1234706	1235000	2	478637385
iPSC colonies	Control	SRR24314019	19	1234743	1235000	1245	478637385
iPSC colonies	Control	SRR24314019	19	1235146	1235311	25	478637385
iPSC colonies	Control	SRR24314019	19	1235146	1235336	2	478637385
iPSC colonies	Control	SRR24314019	19	1235146	1235500	891	478637385
iPSC colonies	Control	SRR24314019	19	1235343	1235500	4	478637385
iPSC colonies	Control	SRR24314019	19	1235391	1235500	24	478637385
iPSC colonies	Control	SRR24314019	19	1235566	1235750	20	478637385
iPSC colonies	Control	SRR24314019	19	1235566	1235778	1481	478637385
iPSC colonies	Control	SRR24314019	19	1235576	1235778	1	478637385
iPSC colonies	Control	SRR24314019	19	1235915	1235995	9	478637385
iPSC colonies	Control	SRR24314019	19	1235919	1235995	1007	478637385
iPSC colonies	Control	SRR24314022	19	1234291	1234570	123	436918252
iPSC colonies	Control	SRR24314022	19	1234332	1234570	1625	436918252
iPSC colonies	Control	SRR24314022	19	1234743	1235000	1281	436918252
iPSC colonies	Control	SRR24314022	19	1235146	1235311	28	436918252
iPSC colonies	Control	SRR24314022	19	1235146	1235500	874	436918252
iPSC colonies	Control	SRR24314022	19	1235343	1235500	8	436918252
iPSC colonies	Control	SRR24314022	19	1235391	1235500	11	436918252
iPSC colonies	Control	SRR24314022	19	1235566	1235750	40	436918252
iPSC colonies	Control	SRR24314022	19	1235566	1235778	1454	436918252
iPSC colonies	Control	SRR24314022	19	1235915	1235995	6	436918252
iPSC colonies	Control	SRR24314022	19	1235919	1235995	1162	436918252
iPSC colonies	TDP-43 KD	SRR24314005	19	1234291	1234570	141	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1234332	1234570	526	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1234743	1235000	510	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235146	1235311	29	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235146	1235500	46	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235343	1235500	144	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235391	1235500	6	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235566	1235750	17	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235566	1235778	410	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235915	1235995	9	460466802
iPSC colonies	TDP-43 KD	SRR24314005	19	1235919	1235995	311	460466802
iPSC colonies	TDP-43 KD	SRR24314015	19	1234291	1234570	110	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1234332	1234570	444	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1234743	1235000	424	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235146	1235311	30	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235146	1235500	29	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235343	1235500	140	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235391	1235500	1	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235566	1235750	16	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235566	1235778	358	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235915	1235995	2	421400518
iPSC colonies	TDP-43 KD	SRR24314015	19	1235919	1235995	288	421400518
iPSC colonies	TDP-43 KD	SRR24314018	19	1234291	1234570	124	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1234332	1234570	404	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1234743	1235000	380	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235146	1235311	15	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235146	1235500	29	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235343	1235500	133	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235391	1235500	6	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235566	1235750	6	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235566	1235778	344	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235915	1235995	18	396498612
iPSC colonies	TDP-43 KD	SRR24314018	19	1235919	1235995	315	396498612
iPSC colonies	TDP-43 KD	SRR24314021	19	1234291	1234570	141	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1234332	1234570	476	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1234743	1235000	417	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235146	1235311	24	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235146	1235336	2	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235146	1235500	46	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235337	1235500	4	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235343	1235500	195	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235391	1235500	14	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235566	1235750	17	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235566	1235778	391	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235915	1235995	7	441763065
iPSC colonies	TDP-43 KD	SRR24314021	19	1235919	1235995	353	441763065
