comparison,gene,chrom,start,end,strand,junction_class,lsv_type,PSI_knockdown,PSI_control,delta_PSI,CI95_low,CI95_high,q_value,reads_knockdown,reads_control,LSV_total_knockdown,LSV_total_control
SH-SY5Y 75 ng/mL,STMN2,8,79613938,79616821,+,fully novel,donor,0.98615275,0.2912917499999999,0.6948610000000001,0.3202785030461271,0.995249406175772,2.0712430831182773e-18,1134.0,18.0,1149.0,51.0
SH-SY5Y 75 ng/mL,AGRN,1,1044988,1045160,+,novel splice site,acceptor,0.60122975,0.0001,0.60112975,0.5454545454545454,0.6551724137931034,8.672338592698516e-31,117.0,0.0,192.0,606.0
SH-SY5Y 75 ng/mL,PFKP,10,3099820,3101364,+,novel splice site,acceptor,0.97615475,0.0001,0.97605475,0.9444444444444444,1.0,2.5642171272962834e-38,48.0,0.0,49.0,421.0
SH-SY5Y 75 ng/mL,RSF1,11,77813788,77820527,-,novel splice site,acceptor,0.205059,0.0001,0.204959,0.1648351648351648,0.2276422764227642,7.507024564651097e-08,68.0,0.0,336.0,309.0
SH-SY5Y 75 ng/mL,ARHGAP32,11,128992047,128998318,-,novel splice site,acceptor,0.839932,0.0001,0.839832,0.7835051546391752,0.8979591836734694,3.473558275843667e-33,293.0,0.0,347.0,105.0
SH-SY5Y 75 ng/mL,HDGFL2,19,4492153,4493702,+,novel splice site,acceptor,0.71870625,0.0001,0.71860625,0.6653992395437263,0.7536231884057971,8.631026384274113e-57,555.0,0.0,769.0,1035.0
SH-SY5Y 75 ng/mL,HDGFL2,19,4492153,4493705,+,fully novel,acceptor,0.80618875,0.0001,0.80608875,0.6956521739130435,1.0,1.5149665587321376e-30,137.0,0.0,176.0,138.0
SH-SY5Y 75 ng/mL,ELAVL3,19,11463663,11466171,-,novel splice site,acceptor,0.64872025,0.0001,0.64862025,0.5849056603773585,1.0,4.1793430114545545e-30,67.0,0.0,105.0,4030.0
SH-SY5Y 75 ng/mL,UNC13A,19,17642542,17642844,-,novel splice site,acceptor,0.7124575,0.0001,0.7123575,0.6896551724137931,0.7857142857142857,3.433761378142307e-23,40.0,0.0,56.0,371.0
SH-SY5Y 75 ng/mL,ATG4B,2,241668986,241670725,+,novel splice site,acceptor,0.66621675,0.0001,0.66611675,0.4657534246575342,0.8157894736842105,2.548356362961429e-31,95.0,0.0,150.0,464.0
SH-SY5Y 75 ng/mL,SETD5,3,9468616,9470458,+,novel splice site,acceptor,0.28879225,0.0001,0.28869225,0.2435897435897435,0.3686868686868687,2.7775168697688446e-16,180.0,0.0,633.0,1025.0
SH-SY5Y 75 ng/mL,KALRN,3,124701256,124702037,+,novel splice site,acceptor,0.94866025,0.0325935,0.91606675,0.4797979797979798,0.9916666666666668,3.9403051076702393e-13,20.0,3.0,21.0,106.0
SH-SY5Y 75 ng/mL,ACTL6B,7,100650644,100655018,-,novel splice site,acceptor,0.97115575,0.0001,0.97105575,0.9505494505494504,0.9896907216494846,9.551556534505913e-110,509.0,0.0,522.0,1040.0
SH-SY5Y 25 ng/mL,AGRN,1,1044440,1044891,+,novel splice site,donor,0.25005,0.0001,0.24995,0.1688311688311688,0.3523809523809524,1.1304331999876336e-10,62.0,0.0,238.0,606.0
SH-SY5Y 25 ng/mL,GPSM2,1,108885579,108896316,+,novel splice site,donor,0.41126775,0.0001,0.41116775,0.297752808988764,0.4748858447488584,2.267247571771665e-21,251.0,0.0,602.0,503.0
SH-SY5Y 25 ng/mL,PFKP,10,3099353,3099556,+,novel splice site,donor,0.614977,0.0001,0.614877,0.6052631578947368,0.625,9.016393174112776e-23,53.0,0.0,86.0,421.0
SH-SY5Y 25 ng/mL,HDGFL2,19,4491836,4492014,+,novel splice site,donor,0.3812737499999999,0.0001,0.38117375,0.3287671232876712,0.4507389162561576,5.62057581973767e-24,452.0,0.0,1185.0,1164.0
SH-SY5Y 25 ng/mL,ELAVL3,19,11458612,11463495,-,novel splice site,donor,0.4525095,0.0025995,0.44991,0.4179426981435589,0.4717401247401247,6.0027859581441375e-28,172.0,1.0,380.0,4015.0
SH-SY5Y 25 ng/mL,UNC13A,19,17641557,17642413,-,novel splice site,donor,0.4925015,0.0001,0.4924015,0.1428571428571428,0.75,4.728112424409034e-17,57.0,0.0,111.0,371.0
SH-SY5Y 25 ng/mL,ATG4B,2,241668686,241668781,+,novel splice site,donor,0.470006,0.0001,0.469906,0.3269230769230769,0.6363636363636364,5.969967998098685e-20,76.0,0.0,161.0,463.0
SH-SY5Y 25 ng/mL,ACTL6B,7,100650136,100650574,-,novel splice site,donor,0.69371125,0.0001,0.69361125,0.6752136752136753,0.7222222222222222,2.4885692733689013e-53,531.0,0.0,761.0,1063.0
SH-SY5Y 25 ng/mL,STMN2,8,79611215,79616821,+,novel splice site,donor,0.9224155,0.035093,0.8873224999999999,0.8916927444365198,0.9140665324672896,4.594919745004122e-102,6943.0,231.0,7457.0,8606.0
SH-SY5Y 25 ng/mL,STMN2,8,79613938,79616821,+,fully novel,donor,0.919916,0.2912917499999999,0.62862425,0.2643274853801169,0.948626045400239,5.6896907177135206e-11,734.0,18.0,795.0,51.0
SH-SY5Y 25 ng/mL,AGRN,1,1044988,1045160,+,novel splice site,acceptor,0.345031,0.0001,0.344931,0.3294117647058823,0.3552631578947368,1.0278579354474757e-15,78.0,0.0,228.0,606.0
SH-SY5Y 25 ng/mL,GPSM2,1,108896432,108896863,+,novel splice site,acceptor,0.260048,0.0001,0.259948,0.2121212121212121,0.3313253012048193,4.0423017122752646e-12,120.0,0.0,460.0,515.0
SH-SY5Y 25 ng/mL,PFKP,10,3099820,3101364,+,novel splice site,acceptor,0.7124575,0.0001,0.7123575,0.5714285714285714,0.8378378378378378,1.6641117149935816e-31,82.0,0.0,115.0,421.0
SH-SY5Y 25 ng/mL,ARHGAP32,11,128992047,128998318,-,novel splice site,acceptor,0.784943,0.0001,0.784843,0.696969696969697,0.8888888888888888,1.5368782235485843e-28,270.0,0.0,342.0,105.0
SH-SY5Y 25 ng/mL,HDGFL2,19,4492153,4493702,+,novel splice site,acceptor,0.44126175,0.0001,0.44116175,0.3904761904761905,0.4873949579831932,4.22338305939009e-28,443.0,0.0,1002.0,1035.0
SH-SY5Y 25 ng/mL,HDGFL2,19,4492153,4493705,+,fully novel,acceptor,0.5574884999999999,0.0001,0.5573885,0.5454545454545454,0.5714285714285714,1.1944931869750356e-17,105.0,0.0,188.0,138.0
SH-SY5Y 25 ng/mL,ELAVL3,19,11463663,11466171,-,novel splice site,acceptor,0.29379125,0.0001,0.29369125,0.2121212121212121,0.3529411764705882,7.184275287461726e-17,86.0,0.0,294.0,4030.0
SH-SY5Y 25 ng/mL,UNC13A,19,17642542,17642844,-,novel splice site,acceptor,0.44626075,0.0001,0.44616075,0.3125,0.59375,7.340070826561245e-17,58.0,0.0,132.0,371.0
SH-SY5Y 25 ng/mL,SETD5,3,9468616,9470458,+,novel splice site,acceptor,0.295041,0.0001,0.294941,0.2711111111111111,0.3058252427184466,1.2854115048588803e-16,199.0,0.0,685.0,1025.0
SH-SY5Y 25 ng/mL,KALRN,3,124701256,124702037,+,novel splice site,acceptor,0.959908,0.0325935,0.9273145,0.8369408369408369,0.9916666666666668,5.983898137286702e-16,26.0,3.0,27.0,106.0
SH-SY5Y 25 ng/mL,ACTL6B,7,100650644,100655018,-,novel splice site,acceptor,0.5474905,0.0001,0.5473905,0.4753086419753086,0.639344262295082,3.052593886827452e-35,288.0,0.0,523.0,1040.0
iPSC colonies,GPSM2,1,108885579,108896316,+,novel splice site,donor,0.4875025,0.0001,0.4874025,0.4465617232808616,0.5131348511383538,1.6197617490002024e-32,581.0,0.0,1195.0,414.0
iPSC colonies,PFKP,10,3099353,3099556,+,novel splice site,donor,0.5462407499999999,0.00134975,0.5448909999999999,0.4931365972797792,0.6024305555555556,2.8400939503983067e-56,737.0,12.0,1364.0,9634.0
iPSC colonies,HDGFL2,19,4491836,4492014,+,novel splice site,donor,0.5624875,0.0001,0.5623875,0.5502434705621957,0.5768539902489094,4.678401791064134e-65,4734.0,0.0,8415.0,5112.0
iPSC colonies,ELAVL3,19,11458612,11463495,-,novel splice site,donor,0.2363027499999999,0.00134975,0.2349529999999999,0.2178031995846858,0.2427827219448665,6.462584413863326e-21,2035.0,39.0,8815.0,15431.0
iPSC colonies,UNC13A,19,17621871,17623117,-,novel splice site,donor,0.964907,0.5674865,0.3974204999999999,0.1056664619164618,0.5910982057727312,4.248681599034288e-08,158.0,66.0,165.0,120.0
iPSC colonies,UNC13A,19,17641557,17642413,-,novel splice site,donor,0.52124575,0.0001,0.52114575,0.4769475357710652,0.5658227848101266,2.8877023504202336e-54,747.0,0.0,1419.0,5027.0
iPSC colonies,ATG4B,2,241668686,241668781,+,novel splice site,donor,0.210058,0.00134975,0.2087082499999999,0.1662572930809811,0.2346177263586416,3.175123482514097e-17,412.0,4.0,1977.0,6520.0
iPSC colonies,ATG4B,2,241668686,241668874,+,novel splice site,donor,0.205059,0.0001,0.204959,0.1821946169772256,0.2234886025768087,1.3655296647971436e-18,395.0,0.0,1977.0,6520.0
iPSC colonies,KALRN,3,124700034,124701092,+,novel splice site,donor,0.55123975,0.00634875,0.544891,0.423573626254993,0.6425289097611473,9.247936809695976e-35,146.0,3.0,268.0,1020.0
iPSC colonies,CAMK2B,7,44254608,44258489,-,novel splice site,donor,0.47125575,0.0001,0.47115575,0.4437555358724535,0.4966063348416289,1.5678567923621468e-44,488.0,0.0,1041.0,2972.0
iPSC colonies,ACTL6B,7,100650136,100650574,-,novel splice site,donor,0.93616275,0.03384325,0.9023195,0.9117571503153818,0.9258441097347524,1.3870151736091681e-142,7280.0,129.0,7708.0,5113.0
iPSC colonies,STMN2,8,79611215,79616821,+,novel splice site,donor,0.644971,0.00384925,0.6411217499999999,0.6407164528050966,0.6552791487291669,3.8516690106330426e-83,153396.0,81.0,236825.0,405560.0
iPSC colonies,STMN2,8,79613938,79616821,+,fully novel,donor,0.974905,0.0001,0.974805,0.9811145099082323,0.9870889428382256,3.2427442478666644e-29,16322.0,0.0,16581.0,33.0
iPSC colonies,PFKP,10,3099820,3101364,+,novel splice site,acceptor,0.7174564999999999,0.0025995,0.714857,0.688395395257021,0.7526294593889028,1.0400362259757446e-89,1333.0,6.0,1859.0,9616.0
iPSC colonies,ARHGAP32,11,128992047,128998318,-,novel splice site,acceptor,0.66371725,0.01884625,0.6448710000000001,0.6229909120704067,0.675047375180104,1.1215774221528773e-58,2547.0,21.0,3820.0,1635.0
iPSC colonies,HDGFL2,19,4492153,4493702,+,novel splice site,acceptor,0.5124974999999999,0.0001,0.5123975,0.4904950122341426,0.5416666666666666,1.31707607971231e-55,2638.0,0.0,5158.0,4179.0
iPSC colonies,HDGFL2,19,4492153,4493705,+,fully novel,acceptor,0.38627275,0.0001,0.38617275,0.357685009487666,0.4068441064638783,7.05970739572356e-30,421.0,0.0,1094.0,933.0
iPSC colonies,UNC13A,19,17642542,17642844,-,novel splice site,acceptor,0.5174965,0.0001,0.5173965,0.499421965317919,0.5491931285788652,1.3515519942626674e-54,888.0,0.0,1707.0,5027.0
iPSC colonies,ATG4B,2,241668986,241670725,+,novel splice site,acceptor,0.21630675,0.0001,0.21620675,0.1837270341207349,0.2432098765432098,1.4660075952566185e-19,337.0,0.0,1578.0,6491.0
iPSC colonies,SETD5,3,9468616,9470458,+,novel splice site,acceptor,0.3425315,0.00384925,0.3386822499999999,0.31081768301968,0.3642399381994313,4.6630473213000976e-30,1980.0,14.0,5811.0,7481.0
iPSC colonies,KALRN,3,124701256,124702037,+,novel splice site,acceptor,0.81368725,0.01634675,0.7973405,0.709114476448007,0.8641964602514792,4.16678275769117e-59,218.0,15.0,270.0,1037.0
iPSC colonies,CAMK2B,7,44258515,44258871,-,novel splice site,acceptor,0.26129775,0.0001,0.26119775,0.2248888888888889,0.3016975308641975,3.7497157504704934e-22,300.0,0.0,1151.0,2980.0
iPSC colonies,CAMK2B,7,44258611,44258871,-,novel splice site,acceptor,0.2463007499999999,0.0001,0.24620075,0.2094488188976378,0.2751937984496124,1.0008310773884322e-20,275.0,0.0,1151.0,2980.0
iPSC colonies,ACTL6B,7,100650644,100655018,-,novel splice site,acceptor,0.8724255,0.03634275,0.83608275,0.8149663007751362,0.8769109380120229,5.923131637438254e-107,6802.0,138.0,7758.0,5124.0
