comparison,gene,chrom,start,end,strand,junction_class,lsv_type,PSI_knockdown,PSI_control,delta_PSI,CI95_low,CI95_high,q_value,reads_knockdown,reads_control,LSV_total_knockdown,LSV_total_control
SH-SY5Y 75 ng/mL,CBARP,19,1235343,1235500,-,annotated,acceptor,0.90866825,0.14882025,0.759848,0.6754079254079255,0.8533653846153846,5.58651831064559e-17,59.0,32.0,65.0,221.0
SH-SY5Y 75 ng/mL,CBARP,19,1235146,1235500,-,annotated,acceptor,0.05133975,0.74995,-0.69861025,-0.7991452991452992,-0.5855186480186481,3.5367234228461796e-14,4.0,167.0,65.0,221.0
SH-SY5Y 25 ng/mL,CBARP,19,1235146,1235311,-,novel splice site,donor,0.9999,0.085083,0.914817,0.9,0.9367088607594936,0.0001252513105468,6.0,14.0,6.0,181.0
SH-SY5Y 25 ng/mL,CBARP,19,1235146,1235500,-,annotated,donor,0.0001,0.914917,-0.914817,-0.9367088607594936,-0.9,0.0001252513105468,0.0,167.0,6.0,181.0
SH-SY5Y 25 ng/mL,CBARP,19,1234291,1234570,-,annotated,acceptor,0.56123775,0.2413017499999999,0.319936,0.2326047558899445,0.4178487394957983,0.0030627366732132,72.0,61.0,129.0,256.0
SH-SY5Y 25 ng/mL,CBARP,19,1234332,1234570,-,annotated,acceptor,0.4325135,0.71620675,-0.28369325,-0.3805509868421052,-0.2158573325954628,0.0158627061982358,56.0,185.0,129.0,256.0
SH-SY5Y 25 ng/mL,CBARP,19,1235343,1235500,-,annotated,acceptor,0.94116175,0.14882025,0.7923415,0.7123464770523593,0.8651903651903652,2.5911038101288523e-19,64.0,32.0,68.0,221.0
SH-SY5Y 25 ng/mL,CBARP,19,1235146,1235500,-,annotated,acceptor,0.0001,0.74995,-0.74985,-0.8131868131868132,-0.6923076923076923,1.2993663834183906e-19,0.0,167.0,68.0,221.0
iPSC colonies,CBARP,19,1235146,1235311,-,novel splice site,donor,0.36377725,0.0325935,0.33118375,0.2872620601008093,0.4129802390620326,4.2847273041789763e-16,201.0,137.0,553.0,5733.0
iPSC colonies,CBARP,19,1235146,1235500,-,annotated,donor,0.6324735,0.96115775,-0.32868425,-0.4057493399877039,-0.2844671798951879,5.405865320360288e-15,350.0,5560.0,553.0,5733.0
iPSC colonies,CBARP,19,1235146,1235500,-,annotated,acceptor,0.295041,0.959908,-0.664867,-0.7115305380209728,-0.6253019273873848,2.0958389045922983e-54,350.0,5560.0,1198.0,5743.0
iPSC colonies,CBARP,19,1235343,1235500,-,annotated,acceptor,0.64622075,0.0175964999999999,0.62862425,0.614628256576594,0.6654618189591393,5.567149776113409e-57,775.0,54.0,1198.0,5743.0
iPSC colonies,CRACR2B,11,830714,831223,+,annotated,donor,0.58873225,0.37627475,0.2124574999999999,0.1659149230028359,0.2557959109960778,0.0198195198839214,300.0,122.0,510.0,328.0
C2C12,Cbarp,chr10,80136495,80136662,-,annotated,donor,0.9374125,0.4162667499999999,0.5211457500000001,0.407909604519774,0.6268568033273916,9.338907538277466e-14,112.0,77.0,120.0,185.0
C2C12,Cbarp,chr10,80136495,80136689,-,annotated,donor,0.0525895,0.41126775,-0.35867825,-0.4784836065573771,-0.2466422466422466,1.261117818281478e-07,7.0,76.0,120.0,185.0
C2C12,Cbarp,chr10,80136495,80136873,-,annotated,donor,0.010098,0.1725654999999999,-0.1624675,-0.236052836052836,-0.1163365224812469,0.0009462097136108,1.0,32.0,120.0,185.0
C2C12,Cbarp,chr10,80136495,80136873,-,annotated,acceptor,0.00634875,0.1075785,-0.10122975,-0.154413407821229,-0.0675675675675675,0.0022447414975726,1.0,32.0,219.0,302.0
C2C12,Cbarp,chr10,80136744,80136873,-,annotated,acceptor,0.99365125,0.8924215,0.10122975,0.0675675675675675,0.154413407821229,0.0022447414975726,218.0,270.0,219.0,302.0
Mouse striatum,Cbarp,chr10,80136495,80136662,-,annotated,donor,0.569986,0.1575685,0.4124175,0.3466324373301118,0.4800933069273107,3.5520699859612752e-09,124.0,62.0,217.0,404.0
Mouse striatum,Cbarp,chr10,80136495,80136873,-,annotated,donor,0.0925815,0.31128775,-0.21870625,-0.2955621510847289,-0.1307252747252747,0.0018506744909163,21.0,123.0,217.0,404.0
Mouse striatum,Cbarp,chr10,80136495,80136873,-,annotated,acceptor,0.08133375,0.3875225,-0.30618875,-0.3791397849462365,-0.218886728245017,1.8996063034597384e-06,21.0,123.0,245.0,320.0
Mouse striatum,Cbarp,chr10,80136744,80136873,-,annotated,acceptor,0.91866625,0.6124775,0.30618875,0.2188867282450171,0.3791397849462365,1.8996063034597384e-06,224.0,197.0,245.0,320.0
NSC34,Cbarp,chr10,80136495,80136662,-,annotated,donor,0.8724255,0.3075385,0.5648869999999999,0.4728803882386526,0.6475155279503105,9.63428072803711e-23,240.0,100.0,274.0,319.0
NSC34,Cbarp,chr10,80136495,80136689,-,annotated,donor,0.0775845,0.41126775,-0.33368325,-0.3988050784167289,-0.2895132622368061,4.510626369638627e-10,20.0,131.0,274.0,319.0
NSC34,Cbarp,chr10,80136495,80136873,-,annotated,donor,0.05383925,0.2787942499999999,-0.2249549999999999,-0.3571428571428571,-0.1489270122363647,5.730198471049282e-06,14.0,88.0,274.0,319.0
NSC34,Cbarp,chr10,80136495,80136873,-,annotated,acceptor,0.02884425,0.1825635,-0.15371925,-0.198583114227286,-0.1194229112833764,1.773595268373668e-05,14.0,88.0,540.0,487.0
NSC34,Cbarp,chr10,80136744,80136873,-,annotated,acceptor,0.97115575,0.8174365,0.1537192499999999,0.1194229112833764,0.198583114227286,1.773595268373668e-05,526.0,399.0,540.0,487.0
iPSC colonies,MCUB,4,109660366,109664289,+,annotated,donor,0.6874625,0.969906,-0.2824434999999999,-0.3393015530991455,-0.0525267870972681,3.0728994884078503e-11,1305.0,1409.0,1904.0,1598.0
iPSC colonies,MCUB,4,109660366,109682581,+,novel combination,donor,0.30378925,0.030094,0.27369525,0.0493968613572531,0.3295125680759955,9.421759091340484e-11,582.0,189.0,1904.0,1598.0
iPSC colonies,MCUB,4,109660366,109682581,+,novel combination,acceptor,0.14132175,0.010098,0.13122375,0.0198059439203576,0.151518318529676,3.311544883179696e-06,582.0,189.0,4240.0,4176.0
iPSC colonies,ORAI2,7,102441475,102448817,+,fully novel,acceptor,0.17631475,0.79619075,-0.619876,-0.909356275924276,0.0783563713106105,9.766946668829836e-09,53.0,48.0,309.0,61.0
iPSC colonies,ORAI3,16,30949518,30953184,+,annotated,acceptor,0.6274744999999999,0.8024395,-0.174965,-0.3906766975827426,-0.0700024823384281,0.0153278979776001,577.0,763.0,976.0,939.0
"iPSC-MN, FUS KD",SARAF,8,30066068,30066776,-,annotated,acceptor,0.170066,0.0001,0.169966,0.1582397003745318,0.1754032258064516,1.3881091203889097e-12,343.0,0.0,2060.0,1428.0
"iPSC-MN, FUS KD",SARAF,8,30066140,30066776,-,annotated,acceptor,0.829934,0.9999,-0.169966,-0.1754032258064516,-0.1582397003745318,1.3881091203889097e-12,1717.0,1428.0,2060.0,1428.0
SH-SY5Y 75 ng/mL,STIM2,4,27007701,27008427,+,annotated,acceptor,0.83118375,0.979904,-0.14872025,-0.1932773109243697,-0.0528233151183969,0.0326580349887928,102.0,121.0,122.0,124.0
SH-SY5Y 75 ng/mL,STIM2,4,27008007,27008427,+,annotated,acceptor,0.16881625,0.020096,0.14872025,0.052823315118397,0.1932773109243697,0.0326580349887928,20.0,3.0,122.0,124.0
SH-SY5Y 75 ng/mL,STIM2,4,27017985,27022518,+,annotated,acceptor,0.929914,0.7511997499999999,0.17871425,0.1132294119845988,0.252644869171492,0.0401140367957969,100.0,175.0,107.0,232.0
SH-SY5Y 75 ng/mL,STIM2,4,27021613,27022518,+,annotated,acceptor,0.070086,0.24880025,-0.17871425,-0.252644869171492,-0.1132294119845987,0.0401140367957969,7.0,57.0,107.0,232.0
"iPSC-MN, TDP-43 KD",TRPC1,3,142792968,142802168,+,annotated,acceptor,0.67621475,0.9999,-0.32368525,-0.3448275862068966,-0.3055555555555556,0.0014800969940473,44.0,32.0,65.0,32.0
iPSC colonies,TRPC1,3,142724732,142748257,+,annotated,acceptor,0.38877225,0.22630475,0.1624675,0.0578857473197393,0.2513629681968324,0.0434308667062469,263.0,258.0,689.0,1112.0
iPSC colonies,TRPC1,3,142736534,142748257,+,annotated,acceptor,0.4325135,0.6274744999999999,-0.1949609999999999,-0.2950824876202503,-0.0825484556238602,0.0183300369110198,300.0,696.0,689.0,1112.0
iPSC colonies,TRPC1,3,142748461,142802168,+,novel combination,acceptor,0.1913117499999999,0.01134775,0.1799639999999999,-0.0009448818897637,0.2952380952380952,7.729202813152957e-05,61.0,27.0,280.0,512.0
iPSC colonies,TRPC1,3,142792968,142802168,+,annotated,acceptor,0.62872425,0.839932,-0.21120775,-0.3775836239788395,0.0310856049736968,0.0074183629190016,171.0,401.0,280.0,512.0
