dataset,gene,unit,index,index_knockdown,index_control,delta,bootstrap_CI95_low,bootstrap_CI95_high,per_sample_knockdown,per_sample_control,n_boot,chrom,strand,window_5prime_or_proximal,window_3prime_or_distal
SH-SY5Y (GSE296712),STIM1,intron18,intronic polyadenylation index,0.48557827900072,0.551779953976477,-0.0662016749757567,-0.208333282935777,0.0662841003190315,0.5649;0.4399;0.452,0.6979;0.5319;0.4255,729.0,chr11,+,4088789-4089288,4090732-4091231
SH-SY5Y (GSE296712),STIM2,intron12,intronic polyadenylation index,0.507187506509042,0.41391461424622,0.0932728922628215,-0.180211866943187,0.413633203570964,0.233;0.8311;0.4575,0.4984;0.3664;0.377,729.0,chr4,+,27018035-27018534,27020451-27020950
SH-SY5Y (GSE296712),STIM2,intron13,intronic polyadenylation index,0.800588062493215,0.956298207249431,-0.155710144756217,-0.238616653167849,-0.0371634274969914,0.9216;0.7635;0.7167,0.9647;0.9676;0.9366,729.0,chr4,+,27021119-27021618,27021969-27022468
SH-SY5Y (GSE296712),UNC13A,intron11,intronic polyadenylation index,0.278428759335088,0.379601647634692,-0.101172888299604,-0.575071103973531,0.304673052677664,0.4663;0.1351;0.2339,0;0.2524;0.8864,729.0,chr19,-,17654724-17655223,17652728-17653227
SH-SY5Y (GSE296712),UNC13A,intron2,intronic polyadenylation index,0.195729461362905,0.462981708937271,-0.267252247574366,-0.31556307981583,-0.201613691285918,0.217;0.1821;0.1882,0.3942;0.5042;0.4905,729.0,chr19,-,17675462-17675961,17674807-17675306
SH-SY5Y (GSE296712),UNC13A,intron31,intronic polyadenylation index,0.515370981714061,0.56698503573691,-0.051614054022849,-0.230567877516433,0.0785959656020381,0.6167;0.5985;0.331,0.5304;0.5352;0.6353,729.0,chr19,-,17628690-17629189,17627991-17628490
SH-SY5Y (GSE296712),UNC13A,intron38,intronic polyadenylation index,0.571869023156095,0.395228741132368,0.176640282023727,0.0108216523945883,0.342458911652866,0.5807;0.4133;0.7216,0.4152;0.2907;0.4798,729.0,chr19,-,17620143-17620642,17619013-17619512
SH-SY5Y (GSE296712),UNC13A,intron42,intronic polyadenylation index,0.379671510751735,0.271172987286849,0.108498523464886,-0.095009609988086,0.360778274547101,0.2361;0.2419;0.6611,0.2748;0.1766;0.3621,729.0,chr19,-,17615858-17616357,17611906-17612405
"iPSC-MN, TDP-43 KD",AGRN,intron36,intronic polyadenylation index,0.472256801767281,0.51603631067513,-0.0437795089078488,-0.106233180287866,0.0186741624721687,0.4579;0.4866,0.5695;0.4626,16.0,chr1,+,1052067-1052566,1052911-1053410
"iPSC-MN, TDP-43 KD",AGRN,termexon,distal 3'UTR usage index,0.549242402015221,0.518708294580286,0.0305341074349351,-0.0152194316503965,0.0762876465202666,0.5305;0.568,0.4847;0.5528,16.0,chr1,+,1054824-1055471,1055472-1056119
"iPSC-MN, TDP-43 KD",GPSM2,intron17,intronic polyadenylation index,0.197612597681179,0.0572583009521809,0.140354296728998,0.0744457562006243,0.206262837257372,0.2599;0.1353,0.063;0.0515,16.0,chr1,+,108924412-108924911,108929151-108929650
"iPSC-MN, TDP-43 KD",GPSM2,termexon,distal 3'UTR usage index,0.378534216556215,0.355877390306113,0.0226568262501027,0.001400769921696,0.0439128825785093,0.3691;0.388,0.3712;0.3405,16.0,chr1,+,108929701-108932122,108932123-108934545
"iPSC-MN, TDP-43 KD",RYR2,termexon,distal 3'UTR usage index,0.335898849053885,0.317679255022328,0.0182195940315575,-0.0703217799064667,0.106760967969582,0.3912;0.2806,0.3708;0.2645,16.0,chr1,+,237832552-237833269,237833270-237833988
"iPSC-MN, TDP-43 KD",PFKP,intron18,intronic polyadenylation index,0.561853965771247,0.632357543946425,-0.0705035781751778,-0.144126055859984,0.003118899509628,0.5943;0.5294,0.6857;0.579,16.0,chr10,+,3120095-3120594,3124547-3125046
"iPSC-MN, TDP-43 KD",PFKP,intron19,intronic polyadenylation index,0.451276451499084,0.43972097692504,0.0115554745740433,-0.0323870961864976,0.0554980453345841,0.4644;0.4381,0.404;0.4754,16.0,chr10,+,3125300-3125799,3129269-3129768
"iPSC-MN, TDP-43 KD",PFKP,termexon,distal 3'UTR usage index,0.0152568528612808,0.0089694021341732,0.0062874507271075,-0.004913224779319,0.0174881262335341,0.0117;0.0188,0;0.0179,16.0,chr10,+,3136450-3137083,3137084-3137718
"iPSC-MN, TDP-43 KD",MICU1,termexon,distal 3'UTR usage index,0.467803916852114,0.485782936548386,-0.0179790196962715,-0.0368599321727721,0.000901892780229,0.4819;0.4537,0.4934;0.4782,16.0,chr10,-,72367848-72368355,72367340-72367847
"iPSC-MN, TDP-43 KD",MCU,termexon,distal 3'UTR usage index,0.472453442613699,0.531950408654283,-0.059496966040584,-0.068892855366161,-0.0501010767150069,0.465;0.4799,0.5288;0.5351,16.0,chr10,+,72885745-72886719,72886720-72887694
"iPSC-MN, TDP-43 KD",CRACR2B,termexon,distal 3'UTR usage index,0.693699522707064,0.698869315919163,-0.0051697932120986,-0.0169209733864747,0.0065813869622774,0.6989;0.6885,0.7074;0.6903,16.0,chr11,+,831535-831762,831763-831991
"iPSC-MN, TDP-43 KD",STIM1,termexon,distal 3'UTR usage index,0.498742124345214,0.487687592435873,0.0110545319093409,-0.0286146904728515,0.0507237542915334,0.5302;0.4673,0.5008;0.4746,16.0,chr11,+,4091282-4092245,4092246-4093210
"iPSC-MN, TDP-43 KD",ARHGAP32,termexon,distal 3'UTR usage index,0.50488360527217,0.50815338837905,-0.0032697831068799,-0.0167065194273786,0.0101669532136187,0.5072;0.5025,0.4962;0.5201,16.0,chr11,-,128970031-128975002,128965060-128970030
"iPSC-MN, TDP-43 KD",ATP2A2,intron3,intronic polyadenylation index,0.789438349787561,0.953437402512691,-0.16399905272513,-0.285620768527784,-0.042377336922475,0.6881;0.8908,0.9859;0.921,16.0,chr12,+,110282846-110283345,110291470-110291969
"iPSC-MN, TDP-43 KD",ATP2A2,termexon,distal 3'UTR usage index,0.353215396150736,0.372481689808958,-0.0192662936582216,-0.0391566084452471,0.0006240211288039,0.368;0.3384,0.3644;0.3806,16.0,chr12,+,110346201-110348646,110348647-110351093
"iPSC-MN, TDP-43 KD",ORAI1,termexon,distal 3'UTR usage index,0.470206611383918,0.513855210175727,-0.0436485987918093,-0.135529451374435,0.0482322537908161,0.5461;0.3943,0.5395;0.4882,16.0,chr12,+,121641041-121641540,121641541-121642040
"iPSC-MN, TDP-43 KD",MICU2,termexon,distal 3'UTR usage index,0.508415092977946,0.480763669085937,0.0276514238920086,0.0126028060458714,0.0427000417381457,0.5106;0.5062,0.4671;0.4944,16.0,chr13,-,21493022-21493353,21492691-21493021
"iPSC-MN, TDP-43 KD",MICU2,intron9,intronic polyadenylation index,0.344586813696757,0.399046250349303,-0.0544594366525466,-0.225005267525087,0.116086394219994,0.2845;0.4047,0.2661;0.532,16.0,chr13,-,21502376-21502875,21496211-21496710
"iPSC-MN, TDP-43 KD",MICU2,intron6,intronic polyadenylation index,0.965952380952381,0.947819721281439,0.0181326596709417,-0.0245926077582219,0.0608579271001054,0.9319;1,0.9617;0.9339,16.0,chr13,-,21520695-21521194,21514469-21514968
"iPSC-MN, TDP-43 KD",RYR3,termexon,distal 3'UTR usage index,0.470040209711949,0.337425149727657,0.132615059984292,0.0239332841970294,0.241296835771555,0.4311;0.509,0.2531;0.4217,16.0,chr15,+,33865131-33865616,33865617-33866102
"iPSC-MN, TDP-43 KD",CBARP,termexon,distal 3'UTR usage index,0.554024394963512,0.591748871845477,-0.0377244768819649,-0.121124701422632,0.0456757476587026,0.5495;0.5585,0.5112;0.6723,16.0,chr19,-,1229781-1231275,1228287-1229780
"iPSC-MN, TDP-43 KD",ELAVL3,termexon,distal 3'UTR usage index,0.507817035526222,0.489631586619235,0.0181854489069874,0.0024189104090758,0.0339519874048989,0.518;0.4977,0.4986;0.4806,16.0,chr19,-,11453102-11454877,11451326-11453101
"iPSC-MN, TDP-43 KD",ELAVL3,intron6,intronic polyadenylation index,0.633456214897242,0.752289649605889,-0.118833434708646,-0.185872440085459,-0.0517944293318335,0.6208;0.6461,0.6932;0.8114,16.0,chr19,-,11456560-11457059,11454928-11455427
"iPSC-MN, TDP-43 KD",UNC13A,termexon,distal 3'UTR usage index,0.630935904391622,0.599233099494895,0.0317028048967273,0.0147163090011516,0.048689300792303,0.6349;0.627,0.6138;0.5847,16.0,chr19,-,17603845-17606354,17601336-17603844
"iPSC-MN, TDP-43 KD",UNC13A,intron31,intronic polyadenylation index,0.545348258802019,0.69076000245459,-0.145411743652571,-0.199312074767393,-0.0915114125377497,0.5991;0.4916,0.6905;0.691,16.0,chr19,-,17628690-17629189,17627991-17628490
"iPSC-MN, TDP-43 KD",ATG4B,termexon,distal 3'UTR usage index,0.465806105590087,0.42502215207738,0.0407839535127076,0.0063632435327569,0.0752046634926582,0.455;0.4767,0.3974;0.4527,16.0,chr2,+,241672191-241673023,241673024-241673857
"iPSC-MN, TDP-43 KD",POLDIP3,termexon,distal 3'UTR usage index,0.559030014324634,0.544400892099533,0.0146291222251007,0.010326922210981,0.0189313222392203,0.5597;0.5584,0.5483;0.5405,16.0,chr22,-,42584845-42585968,42583721-42584844
"iPSC-MN, TDP-43 KD",SETD5,intron1,intronic polyadenylation index,0.283417239832614,0.300841133354967,-0.0174238935223532,-0.123938677240717,0.0890908901960109,0.3372;0.2297,0.2279;0.3738,16.0,chr3,+,9398028-9398527,9422558-9423057
"iPSC-MN, TDP-43 KD",SETD5,intron6,intronic polyadenylation index,0.399373766775964,0.421223649673284,-0.0218498828973197,-0.111632940457267,0.0679331746626274,0.4238;0.375,0.4958;0.3467,16.0,chr3,+,9430882-9431381,9433295-9433794
"iPSC-MN, TDP-43 KD",SETD5,intron22,intronic polyadenylation index,0.396686164229471,0.492660821917358,-0.0959746576878872,-0.124246445401028,-0.0677028699747465,0.3863;0.4071,0.5144;0.4709,16.0,chr3,+,9466299-9466798,9469909-9470408
"iPSC-MN, TDP-43 KD",SETD5,termexon,distal 3'UTR usage index,0.4295204644236,0.457265794912649,-0.027745330489049,-0.0684704886574846,0.0129798276793867,0.4623;0.3967,0.47;0.4446,16.0,chr3,+,9475483-9476818,9476819-9478154
"iPSC-MN, TDP-43 KD",STIMATE,termexon,distal 3'UTR usage index,0.458110763460052,0.435565298678463,0.0225454647815893,0.0192925088606077,0.0257984207025709,0.4586;0.4576,0.4385;0.4326,16.0,chr3,-,52838672-52840610,52836733-52838671
"iPSC-MN, TDP-43 KD",KALRN,intron1,intronic polyadenylation index,0.402699162438233,0.502789839207959,-0.100090676769726,-0.157451340341235,-0.0427300131982171,0.4351;0.3703,0.4657;0.5399,16.0,chr3,+,124033864-124034363,124094131-124094630
"iPSC-MN, TDP-43 KD",KALRN,intron18,intronic polyadenylation index,0.432725655258012,0.48425358115283,-0.0515279258948186,-0.186290304963164,0.0832344531735269,0.4904;0.3751,0.583;0.3855,16.0,chr3,+,124423029-124423528,124430106-124430605
"iPSC-MN, TDP-43 KD",KALRN,intron19,intronic polyadenylation index,0.473132389755033,0.588624735225939,-0.115492345470906,-0.191729444755538,-0.039255246186273,0.5434;0.4029,0.5791;0.5982,16.0,chr3,+,124430826-124431325,124433757-124434256
"iPSC-MN, TDP-43 KD",KALRN,intron37,intronic polyadenylation index,0.688330730986211,0.786972981282909,-0.0986422502966978,-0.150375897064203,-0.046908603529193,0.7231;0.6535,0.7599;0.8141,16.0,chr3,+,124496464-124496963,124517513-124518012
"iPSC-MN, TDP-43 KD",KALRN,intron42,intronic polyadenylation index,0.695433415066492,0.617309952830396,0.0781234622360955,0.0417857060518333,0.114461218420358,0.6934;0.6975,0.5823;0.6524,16.0,chr3,+,124634004-124634503,124636658-124637157
"iPSC-MN, TDP-43 KD",KALRN,termexon,distal 3'UTR usage index,0.513993441932391,0.530868454356549,-0.0168750124241586,-0.0263476656989326,-0.0074023591493845,0.5203;0.5077,0.5359;0.5258,16.0,chr3,+,124718925-124722624,124722625-124726325
"iPSC-MN, TDP-43 KD",TRPC1,intron1,intronic polyadenylation index,0.976374776693905,0.893700305178681,0.0826744715152234,0.0706762107090924,0.0946727323213545,0.9785;0.9742,0.883;0.9044,16.0,chr3,+,142724782-142725281,142735829-142736328
"iPSC-MN, TDP-43 KD",TRPC1,termexon,distal 3'UTR usage index,0.451138575049484,0.472278912917738,-0.0211403378682541,-0.0354292317381422,-0.006851443998366,0.4414;0.4608,0.4649;0.4796,16.0,chr3,+,142806008-142806947,142806948-142807888
"iPSC-MN, TDP-43 KD",STIM2,intron12,intronic polyadenylation index,0.477790246573847,0.426356167272745,0.0514340793011022,-0.095575838422819,0.198443997025023,0.3494;0.6062,0.3965;0.4562,16.0,chr4,+,27018035-27018534,27020451-27020950
"iPSC-MN, TDP-43 KD",STIM2,intron13,intronic polyadenylation index,0.724988905601934,0.748627673215495,-0.023638767613561,-0.0873154551012866,0.0400379198741646,0.7073;0.7427,0.8013;0.696,16.0,chr4,+,27021119-27021618,27021969-27022468
"iPSC-MN, TDP-43 KD",STIM2,termexon,distal 3'UTR usage index,0.124748869943637,0.199168779446328,-0.074419909502691,-0.0997924320147819,-0.0490473869906001,0.113;0.1365,0.2172;0.1811,16.0,chr4,+,27022519-27023949,27023950-27025381
"iPSC-MN, TDP-43 KD",MCUB,termexon,distal 3'UTR usage index,0.287805685134654,0.378345710910129,-0.0905400257754747,-0.200065573813926,0.0189855222629766,0.3717;0.2039,0.3373;0.4194,16.0,chr4,+,109687515-109688116,109688117-109688719
"iPSC-MN, TDP-43 KD",ITPR3,intron57,intronic polyadenylation index,0.0892330177083986,0.0582506682612853,0.0309823494471133,0.011094267109155,0.0508704317850716,0.0814;0.0971,0.0433;0.0732,16.0,chr6,+,33693756-33694255,33694374-33694873
"iPSC-MN, TDP-43 KD",ITPR3,termexon,distal 3'UTR usage index,0.479378158131482,0.367180521608712,0.112197636522771,0.0684734214836702,0.155921851561871,0.4731;0.4857,0.3274;0.407,16.0,chr6,+,33695712-33696142,33696143-33696574
"iPSC-MN, TDP-43 KD",ORAI2,termexon,distal 3'UTR usage index,0.170803910624296,0.137199596477619,0.0336043141466767,0.0281772655693655,0.039031362723988,0.1717;0.1699,0.1323;0.1421,16.0,chr7,+,102446513-102451668,102451669-102456825
"iPSC-MN, TDP-43 KD",MICU3,intron7,intronic polyadenylation index,0.363889623439814,0.296157770312306,0.0677318531275082,0.0068450116829296,0.128618694572087,0.3144;0.4134,0.3144;0.2779,16.0,chr8,+,17087086-17087585,17089996-17090495
"iPSC-MN, TDP-43 KD",MICU3,intron8,intronic polyadenylation index,0.263830235698066,0.524109685401182,-0.260279449703115,-0.414145865371366,-0.106413034034864,0.352;0.1757,0.6229;0.4253,16.0,chr8,+,17090635-17091134,17097908-17098407
"iPSC-MN, TDP-43 KD",MICU3,termexon,distal 3'UTR usage index,0.376433294335845,0.336293348468086,0.0401399458677584,-0.0094022393915984,0.0896821311271152,0.3952;0.3577,0.3741;0.2985,16.0,chr8,+,17120288-17121464,17121465-17122642
"iPSC-MN, TDP-43 KD",SARAF,termexon,distal 3'UTR usage index,0.451861480826594,0.459082766691068,-0.0072212858644737,-0.0142033834471006,-0.0002391882818471,0.4554;0.4484,0.4639;0.4543,16.0,chr8,-,30063458-30063913,30063003-30063457
"iPSC-MN, TDP-43 KD",SARAF,intron5,intronic polyadenylation index,0.504281764772863,0.407417353772307,0.0968644110005561,0.0634123450922203,0.130316476908892,0.4749;0.5336,0.4008;0.414,16.0,chr8,-,30065438-30065937,30063964-30064463
"iPSC-MN, TDP-43 KD",SARAF,intron2,intronic polyadenylation index,0.536099635988775,0.604262745441249,-0.0681631094524736,-0.208320609495289,0.0719943905903414,0.4836;0.5886,0.4969;0.7116,16.0,chr8,-,30073327-30073826,30070110-30070609
"iPSC-MN, TDP-43 KD",SARAF,intron1,intronic polyadenylation index,0.833182267429322,0.782519861028529,0.0506624064007933,0.0199906571912594,0.0813341556103274,0.8197;0.8467,0.7603;0.8048,16.0,chr8,-,30082297-30082796,30074106-30074605
"iPSC-MN, TDP-43 KD",STMN2,intron2,intronic polyadenylation index,0.819049467297218,0.570177565843299,0.248871901453919,0.208179602955101,0.289564199952736,0.8577;0.7804,0.5735;0.5669,16.0,chr8,+,79611842-79612341,79636252-79636751
"iPSC-MN, TDP-43 KD",STMN2,intron3,intronic polyadenylation index,0.488645346400914,0.423525406288775,0.0651199401121387,-0.0406341803574633,0.170874060581741,0.456;0.5213,0.5089;0.3382,16.0,chr8,+,79636948-79637447,79640828-79641327
"iPSC-MN, TDP-43 KD",STMN2,intron4,intronic polyadenylation index,0.682756486298909,0.734138142376911,-0.0513816560780019,-0.0810352721725425,-0.0217280399834612,0.6965;0.6691,0.7552;0.713,16.0,chr8,+,79641601-79642100,79654321-79654820
"iPSC-MN, TDP-43 KD",STMN2,intron5,intronic polyadenylation index,0.539826587140043,0.549183702189327,-0.0093571150492833,-0.075889040229879,0.0571748101313122,0.5865;0.4931,0.5175;0.5809,16.0,chr8,+,79655113-79655612,79663030-79663529
"iPSC-MN, TDP-43 KD",STMN2,termexon,distal 3'UTR usage index,0.566378551922883,0.567147517814786,-0.0007689658919035,-0.0021633287102104,0.0006253969264034,0.5676;0.5652,0.5674;0.5669,16.0,chr8,+,79664815-79665486,79665487-79666158
C2C12,Atg4b,intron1,intronic polyadenylation index,0.0,0.0,0.0,0.0,0.0,0;0;0,0;0;0,729.0,chr1,+,93751632-93752131,93754355-93754854
C2C12,Atg4b,intron8,intronic polyadenylation index,0.366900306727403,0.282807683310598,0.0840926234168045,-0.0975821120069813,0.264665191312016,0.2515;0.4886;0.3605,0.1493;0.4573;0.2418,729.0,chr1,+,93778415-93778914,93780168-93780667
C2C12,Atg4b,termexon,distal 3'UTR usage index,0.0349153813387468,0.0517752104393129,-0.0168598291005661,-0.0257159683960019,-0.0080109548244147,0.0371;0.0272;0.0404,0.0595;0.0496;0.0462,729.0,chr1,+,93787686-93789147,93789148-93790610
C2C12,Mcu,termexon,distal 3'UTR usage index,0.508745061030988,0.496559353187265,0.0121857078437225,-0.0181045416028908,0.0392390464382849,0.4777;0.5363;0.5123,0.489;0.4992;0.5015,729.0,chr10,-,59447921-59448858,59446984-59447920
C2C12,Mcu,intron13,intronic polyadenylation index,0.431815713028705,0.527437080911931,-0.0956213678832267,-0.190659413614336,-0.0171576591561108,0.3284;0.4835;0.4835,0.521;0.4905;0.5708,729.0,chr10,-,59450656-59451155,59448909-59449408
C2C12,Mcu,intron12,intronic polyadenylation index,0.332370472868708,0.349467292219919,-0.0170968193512108,-0.192887417458355,0.14967109033666,0.3271;0.3709;0.2991,0.1734;0.5346;0.3404,729.0,chr10,-,59454396-59454895,59451373-59451872
C2C12,Mcu,intron9,intronic polyadenylation index,0.485400883869066,0.467175482005243,0.018225401863823,-0.0428543421868051,0.106758183390357,0.4303;0.4479;0.578,0.4468;0.4834;0.4713,729.0,chr10,-,59465904-59466403,59458211-59458710
C2C12,Micu1,intron6,intronic polyadenylation index,0.558106725819753,0.649080474722492,-0.0909737489027389,-0.206676388240423,0.0247288904349449,0.4672;0.5554;0.6517,0.7086;0.6927;0.546,729.0,chr10,+,59751756-59752255,59756156-59756655
C2C12,Micu1,intron7,intronic polyadenylation index,0.513270271961127,0.593753755436853,-0.0804834834757259,-0.305172242533131,0.129990105537836,0.7237;0.5317;0.2844,0.5915;0.672;0.5177,729.0,chr10,+,59757225-59757724,59761863-59762362
C2C12,Micu1,intron8,intronic polyadenylation index,0.581352029623573,0.472243527328466,0.109108502295107,-0.0550473124478121,0.308058944892819,0.4912;0.4661;0.7867,0.5504;0.3785;0.4879,729.0,chr10,+,59762707-59763206,59766534-59767033
C2C12,Micu1,termexon,distal 3'UTR usage index,0.478025762778502,0.47104308340667,0.0069826793718323,-0.0129196342196583,0.0213177164311724,0.4869;0.4581;0.4891,0.475;0.4751;0.4631,729.0,chr10,+,59863179-59863655,59863656-59864132
C2C12,Cbarp,termexon,distal 3'UTR usage index,0.642949739351359,0.623864837950953,0.0190849014004055,-0.0072626132552844,0.0375031116969878,0.6401;0.6428;0.6459,0.6511;0.6048;0.6157,729.0,chr10,-,80131351-80132251,80130451-80131350
C2C12,Atp2a3,termexon,distal 3'UTR usage index,0.397240556840853,0.488920303714992,-0.0916797468741394,-0.159456394892704,-0.0245414147123775,0.4136;0.4487;0.3295,0.54;0.4578;0.469,729.0,chr11,+,72991689-72992366,72992367-72993044
C2C12,Pfkp,termexon,distal 3'UTR usage index,0.280731217539141,0.263029673348783,0.0177015441903575,-0.0139340984127877,0.0493371867935026,0.2666;0.2666;0.309,0.2874;0.2668;0.2349,729.0,chr13,-,6580680-6581592,6579768-6580679
C2C12,Pfkp,intron18,intronic polyadenylation index,0.421132775523532,0.42741154109059,-0.0062787655670585,-0.11629815787368,0.103462098431989,0.4251;0.3361;0.5023,0.5095;0.3457;0.427,729.0,chr13,-,6587939-6588438,6587164-6587663
C2C12,Pfkp,intron17,intronic polyadenylation index,0.435248024989654,0.533906394116737,-0.098658369127083,-0.145882850802348,-0.0500234154631996,0.4234;0.3976;0.4847,0.5689;0.5185;0.5143,729.0,chr13,-,6597309-6597808,6596113-6596612
C2C12,Stimate,intron6,intronic polyadenylation index,0.470776100012242,0.519630360714783,-0.0488542607025416,-0.141246272224643,0.0476707048633326,0.4456;0.3994;0.5673,0.573;0.4629;0.523,729.0,chr14,+,30866795-30867294,30869962-30870461
C2C12,Stimate,intron9,intronic polyadenylation index,0.355801139690744,0.513482092425236,-0.157680952734492,-0.33223951229069,0.0167721729333866,0.46;0.4262;0.1812,0.6759;0.4333;0.4312,729.0,chr14,+,30872750-30873249,30873828-30874327
C2C12,Stimate,termexon,distal 3'UTR usage index,0.273049572891366,0.308321594102753,-0.0352720212113873,-0.0480365877874863,-0.0202864624712777,0.2692;0.2723;0.2777,0.3116;0.2923;0.3211,729.0,chr14,+,30874378-30875793,30875794-30877210
C2C12,Micu2,termexon,distal 3'UTR usage index,0.443532241307899,0.432148505371635,0.0113837359362631,-0.0073965150080269,0.0301639868805533,0.4498;0.4544;0.4264,0.4182;0.4318;0.4465,729.0,chr14,-,57916818-57917375,57916261-57916817
C2C12,Micu2,intron13,intronic polyadenylation index,0.491638910300078,0.297476104170958,0.19416280612912,0.0807735671673133,0.29208942379462,0.5367;0.3756;0.5626,0.2289;0.3279;0.3357,729.0,chr14,-,57918273-57918772,57917426-57917925
C2C12,Micu2,intron11,intronic polyadenylation index,0.696310085487354,0.846449318294321,-0.150139232806967,-0.26999989366343,-0.0106413987637362,0.7609;0.626;0.702,0.924;0.9161;0.6993,729.0,chr14,-,57923390-57923889,57919983-57920482
